Date,Type,Value,Transaction Currency,Gross Amount,Currency Gross Amount,Exchange Rate,Fees,Taxes,Shares,ISIN,WKN,Ticker Symbol,Security Name,Note
2023-10-16T00:00,Buy,"2,541.85",USD,,,,0.05,0.00,10,US88160R1014,76792991,TSLA,TESLA INC,Trade-ID: 5793835598 | Transaction-ID: 25324468286
2023-10-16T00:00,Buy,"2,886.50",USD,,,,0.50,0.00,100,US45782C1365,463451348,DBJA,INNOVATOR DBL STACK 9 BUFF-J,Trade-ID: 5792239218 | Transaction-ID: 25319006665
2023-10-16T00:00,Buy,"2,886.50",USD,,,,0.50,0.00,100,US45782C1365,463451348,DBJA,INNOVATOR DBL STACK 9 BUFF-J,Trade-ID: 5792239244 | Transaction-ID: 25319006689
2023-10-16T00:00,Buy,"2,886.50",USD,,,,0.50,0.00,100,US45782C1365,463451348,DBJA,INNOVATOR DBL STACK 9 BUFF-J,Trade-ID: 5792239115 | Transaction-ID: 25319006626
2023-10-16T00:00,Buy,"2,886.50",USD,,,,0.50,0.00,100,US45782C1365,463451348,DBJA,INNOVATOR DBL STACK 9 BUFF-J,Trade-ID: 5792239241 | Transaction-ID: 25319006683
2023-10-16T00:00,Buy,"2,886.50",USD,,,,0.50,0.00,100,US45782C1365,463451348,DBJA,INNOVATOR DBL STACK 9 BUFF-J,Trade-ID: 5792239153 | Transaction-ID: 25319006645
2023-10-16T00:00,Buy,"2,886.50",USD,,,,0.50,0.00,100,US45782C1365,463451348,DBJA,INNOVATOR DBL STACK 9 BUFF-J,Trade-ID: 5792239099 | Transaction-ID: 25319006608
2023-10-16T00:00,Buy,"2,887.00",USD,,,,0.00,0.00,100,US45782C1365,463451348,DBJA,INNOVATOR DBL STACK 9 BUFF-J,Trade-ID: 5792239078 | Transaction-ID: 25319006592
2023-10-16T00:00,Buy,"2,887.00",USD,,,,1.00,0.00,100,US45782C1365,463451348,DBJA,INNOVATOR DBL STACK 9 BUFF-J,Trade-ID: 5792239056 | Transaction-ID: 25319006574
2023-10-16T00:00,Buy,"2,887.50",USD,,,,0.50,0.00,100,US45782C1365,463451348,DBJA,INNOVATOR DBL STACK 9 BUFF-J,Trade-ID: 5792239085 | Transaction-ID: 25319006599
